fips_gridID,fips,gridID,CountyST,latitude,longitude,year,Tjfma,Tapr-may,Tan,PPTjfmam,PPTamjja,PPTjja,PPTan,pptRatioSummerWinter
04001_048977,4001,48977,apacheAZ,34.24481057,-109.7352203,-9999,3.209773214,10.02119789,9.307117582,17.76357143,22.68942857,18.66157143,54.66728571,1.050552897
04001_048978,4001,48978,apacheAZ,34.25764361,-109.6269409,-9999,3.106614881,9.945592506,9.188297461,17.02271429,22.71714286,18.71428571,53.33342857,1.099371428
04001_048979,4001,48979,apacheAZ,34.27037558,-109.5186259,-9999,3.104685714,9.960250585,9.164121134,15.76528571,22.30857143,18.39442857,50.81785714,1.166767853
04001_048980,4001,48980,apacheAZ,34.28300641,-109.4102756,-9999,3.371399405,10.29317447,9.436018717,13.83085714,20.832,17.22814286,46.20057143,1.245630887
04001_048981,4001,48981,apacheAZ,34.29553607,-109.3018901,-9999,3.454593452,10.34646136,9.483900875,11.82271429,19.51614286,16.28657143,41.76942857,1.377566186
04001_048982,4001,48982,apacheAZ,34.30796451,-109.1934698,-9999,3.386560119,10.24583841,9.408424724,11.53928571,19.247,16.05042857,41.03971429,1.39093779
04001_048983,4001,48983,apacheAZ,34.32029168,-109.0850149,-9999,3.320258333,10.19792506,9.376838358,11.36442857,18.70857143,15.524,40.20785714,1.366016769
04001_049438,4001,49438,apacheAZ,34.33332393,-109.7509953,-9999,3.604455952,10.54086183,9.753237174,15.77242857,20.87414286,17.19571429,49.67157143,1.090238844
04001_049439,4001,49439,apacheAZ,34.34617026,-109.642595,-9999,3.5311,10.49490632,9.663157615,15.28528571,20.91585714,17.24457143,48.76842857,1.128181164
04001_049440,4001,49440,apacheAZ,34.35891541,-109.5341589,-9999,3.71096369,10.75832084,9.859894316,14.00342857,19.92042857,16.42714286,45.608,1.173080062
04001_049441,4001,49441,apacheAZ,34.37155933,-109.4256874,-9999,3.741977976,10.8035808,9.868434117,12.812,19.37228571,16.00557143,43.038,1.249264083
04001_049442,4001,49442,apacheAZ,34.38410198,-109.3171807,-9999,3.745244643,10.79109251,9.849427214,11.77414286,18.73571429,15.54185714,40.74357143,1.319999029
04001_049443,4001,49443,apacheAZ,34.39654331,-109.2086389,-9999,3.605142857,10.6390644,9.730451995,11.40542857,18.17085714,15.01957143,39.50557143,1.31687918
04001_049444,4001,49444,apacheAZ,34.40888329,-109.1000625,-9999,3.394771429,10.37216979,9.514256465,11.37514286,18.16385714,14.96657143,39.43114286,1.315726019
04001_049899,4001,49899,apacheAZ,34.42182589,-109.7668062,-9999,3.941232143,10.996,10.14366676,14.09542857,19.24742857,15.85171429,45.298,1.124599668
04001_049900,4001,49900,apacheAZ,34.43468555,-109.6582848,-9999,3.89333631,10.9703103,10.08825396,13.92528571,19.30314286,15.91014286,44.96771429,1.142536188
04001_049901,4001,49901,apacheAZ,34.44744394,-109.5497274,-9999,4.044885714,11.21428689,10.25100653,12.72785714,18.38257143,15.14685714,41.93028571,1.190055559
04001_049902,4001,49902,apacheAZ,34.46010101,-109.4411345,-9999,4.079833929,11.27711007,10.27330092,12.22057143,18.14042857,14.95442857,40.80171429,1.223709436
04001_049903,4001,49903,apacheAZ,34.47265671,-109.3325062,-9999,3.988320833,11.1588829,10.16232227,11.37057143,17.70628571,14.61742857,38.92142857,1.285549162
04001_049904,4001,49904,apacheAZ,34.48511099,-109.2238428,-9999,3.7022875,10.83795433,9.895095487,11.38028571,17.552,14.40757143,38.66728571,1.266011398
04001_049905,4001,49905,apacheAZ,34.49746382,-109.1151446,-9999,3.5172875,10.60514169,9.701438833,11.39528571,17.63228571,14.44528571,38.74928571,1.267654544
04001_050360,4001,50360,apacheAZ,34.51031661,-109.7826533,-9999,4.255378571,11.41219789,10.51895463,12.60914286,17.73014286,14.58014286,41.33385714,1.156315145
04001_050361,4001,50361,apacheAZ,34.52318967,-109.6740105,-9999,4.314154167,11.55214286,10.59317858,11.93985714,17.11214286,14.05271429,39.407,1.176958327
04001_050362,4001,50362,apacheAZ,34.53596136,-109.5653316,-9999,4.296110119,11.55677049,10.56312967,11.76171429,17.07485714,14.02385714,38.99142857,1.19233105
04001_050363,4001,50363,apacheAZ,34.54863163,-109.4566169,-9999,4.322517857,11.63411124,10.57503301,11.28942857,16.86,13.85728571,37.89385714,1.227456786
04001_050364,4001,50364,apacheAZ,34.56120043,-109.3478668,-9999,4.102430357,11.37266979,10.34037449,11.19157143,16.96442857,13.91842857,37.75428571,1.243652749
04001_050365,4001,50365,apacheAZ,34.57366772,-109.2390815,-9999,3.857395833,11.09614871,10.11193363,11.28571429,16.896,13.79585714,37.73314286,1.222417722
04001_050366,4001,50366,apacheAZ,34.58603346,-109.1302613,-9999,3.548592857,10.71444145,9.789985861,11.43314286,17.16042857,13.966,38.16828571,1.221536385
04001_050821,4001,50821,apacheAZ,34.59879628,-109.7985367,-9999,4.496370238,11.75328454,10.81850236,11.36028571,16.42557143,13.47814286,37.88985714,1.186426398
04001_050822,4001,50822,apacheAZ,34.61168279,-109.6897721,-9999,4.517573214,11.8364918,10.85878885,10.95528571,15.95242857,13.05814286,36.61328571,1.191949092
04001_050823,4001,50823,apacheAZ,34.62446784,-109.5809714,-9999,4.412066667,11.75207143,10.73414926,10.97328571,16.05985714,13.13857143,36.61614286,1.19732337
04001_050824,4001,50824,apacheAZ,34.63715136,-109.4721348,-9999,4.299508929,11.65206206,10.60596911,10.95714286,16.16957143,13.20942857,36.548,1.205554107
04001_050825,4001,50825,apacheAZ,34.64973332,-109.3632627,-9999,4.119243452,11.46724824,10.44034773,11.02785714,16.10257143,13.09228571,36.45514286,1.187201244
04001_050826,4001,50826,apacheAZ,34.66221367,-109.2543552,-9999,3.8399,11.13439227,10.14873832,11.277,16.42614286,13.31357143,37.08528571,1.180595143
04001_050827,4001,50827,apacheAZ,34.67459237,-109.1454126,-9999,3.543347024,10.77025644,9.840718671,11.46571429,16.72028571,13.50942857,37.59614286,1.178245701
