predicted_season,precip_category,year,JFM,MAM,JJA,year2,OND,low_mean_percent_anom,low_med_percent_anom,low_stdev_percent_anom,med_mean_percent_anom,med_med_percent_anom,med_stdev_percent_anom,high_mean_percent_anom,high_med_percent_anom,high_stdev_percent_anom
pred_spr_anpp,low,1999,-1.3,-1,-1.1,1999,-1.5,-36.32838527,-42.80578749,26.84921117,-16.77098321,-5.708710567,24.94862689,1.066837651,1.678878144,38.2109147
pred_spr_anpp,low,2000,-1.4,-0.8,-0.6,2000,-1.5,-44.53767929,-54.36435089,31.08416052,-18.22861483,-2.956620186,29.20202298,-20.84540786,-17.03930141,26.57684829
pred_spr_anpp,low,2001,-0.5,-0.3,-0.1,2001,-0.7,34.96856109,35.30683559,32.5406059,25.22478312,7.449469973,39.29048184,37.47857837,34.49999624,28.80666998
pred_spr_anpp,low,2002,0,0.2,0.8,2002,-0.3,-84.6568794,-101.006004,44.01521397,-41.82958202,-11.99397703,51.87164807,-26.08808197,-17.77896042,27.65141205
pred_spr_anpp,low,2003,0.6,0,0.1,2003,1.3,24.18660112,20.83321328,26.41966537,4.906124033,0.341984136,17.75541082,-4.477043624,-7.454849141,22.20370712
pred_spr_anpp,low,2004,0.3,0.2,0.5,2004,0.4,-12.19923811,-11.88175684,22.97053566,-8.588362905,-1.987695819,18.418875,26.53897414,22.62886827,25.97451911
pred_spr_anpp,low,2005,0.6,0.4,-0.1,2005,0.7,91.18000775,73.3785265,76.24078357,37.83890194,12.35763604,56.05489822,42.1168532,40.05433824,27.20174837
pred_spr_anpp,low,2006,-0.8,-0.4,0.1,2006,-0.6,-50.6799503,-59.01443404,32.97275348,-23.42072844,-6.589146946,32.19869824,-27.80727596,-23.46916332,24.54497465
pred_spr_anpp,low,2007,0.2,-0.3,-0.6,2007,0.9,-59.27675684,-71.02740134,38.55728235,-19.29400506,-1.378480351,35.7261017,22.44981401,23.37203699,38.25195203
pred_spr_anpp,low,2008,-1.5,-1,-0.4,2008,-1.5,-1.388907467,-2.447487508,24.29060985,2.472847717,0.22723874,15.62679223,-8.86734421,-11.93508543,18.4225963
pred_spr_anpp,low,2009,-0.8,-0.3,0.5,2009,-0.6,-17.25200469,-11.98038126,28.48929327,-6.085797664,-1.209017767,24.30455956,-11.72999997,-12.62632249,19.473084
pred_spr_anpp,low,2010,1.2,0.4,-1,2010,1.4,36.29335022,26.85530455,50.85342504,21.54810034,3.692810468,46.38686515,29.29748751,22.42610176,29.1228782
pred_spr_anpp,low,2011,-1.2,-0.7,-0.5,2011,-1.6,-2.320753757,-7.82105881,34.42492773,-12.97864686,-4.550502605,24.29507388,-36.95463331,-37.98495651,19.93064072
pred_spr_anpp,low,2012,-0.7,-0.5,0.2,2012,-1.1,-47.68928777,-54.99161332,26.89612363,-21.46669914,-9.543790982,29.28372488,-0.201206541,3.177379532,21.55531747
pred_spr_anpp,low,2013,-0.4,-0.3,-0.4,2013,0.1,-22.79940585,-21.70200469,19.9023491,-11.44300132,-4.283512383,15.83840683,-27.90618114,-28.46831363,15.56623086
pred_spr_anpp,low,2014,-0.5,0,0,2014,-0.2,-54.86006601,-61.82468481,30.05986176,-24.6278487,-9.538317555,27.82675065,-23.21322356,-17.41804341,19.30912207
pred_spr_anpp,low,2015,0.5,0.7,1.5,2015,0.6,8.73624437,5.714460249,19.46272469,13.11412359,8.40484626,17.32304326,22.28469776,19.45020891,22.01442468
pred_spr_anpp,low,2016,2.1,0.9,-0.4,2016,2.6,-28.21699149,-23.08091901,31.49462793,-14.12053372,-2.156112353,27.74816115,-3.674503061,0.364260168,18.16309483
pred_spr_anpp,low,2017,-0.2,0.2,0.1,2017,-0.7,30.10600924,25.61122999,27.61933144,8.695815966,5.515272789,20.37889471,7.350758443,8.178658377,16.24029141
pred_spr_anpp,low,2018,-0.9,-0.5,0.1,2018,-0.8,-54.21276541,-62.17317866,34.20853787,-25.84431964,-8.371193523,33.62595237,-17.67176513,-15.56699503,19.16867635
pred_spr_anpp,low,2019,0.7,0.7,0.3,2019,0.9,62.34392149,61.87372097,44.00431842,31.3799281,12.57609479,44.8637662,14.55535037,9.811700032,27.14669717
pred_spr_anpp,low,2020,0.5,0.2,-0.4,2020,0.5,74.57410834,73.23744274,63.44136077,34.98783626,2.205724054,67.5056627,16.60041183,9.232756829,33.71767484
