Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,PPTgs_below,NDVI_predict_below,NPP_predict_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,PPTgs_avg,NDVI_predict_avg,NPP_predict_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,PPTgs_above,NDVI_predict_above,NPP_predict_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above,pptWatYrReceived,pptAvgWatYrReceived,pptGSremainder_below,pptGSremainder_avg,pptGSremainder_above
4015,mohaveAZ            ,59089,1,2022,0.0205,207.5568,1.3346,0.0117,138.0081,0,-69.5487,-33.5083,1.3346,0.0117,138.0081,0,-69.5487,-33.5083,1.3346,0.0117,138.0081,0,-69.5487,-33.5083,4.606299213,6.998463607,0.00,0.00,0.00
4015,mohaveAZ            ,59539,1,2022,0.0173,181.8732,0.7165,4.00E-04,47.8646,0.0068,-134.0086,-73.6824,0.7165,4.00E-04,47.8646,0.0068,-134.0086,-73.6824,0.7165,4.00E-04,47.8646,0.0068,-134.0086,-73.6824,2.157480315,4.460341848,0.00,0.00,0.00
4015,mohaveAZ            ,59540,1,2022,0.0176,184.4092,0.7953,7.00E-04,49.9367,0,-134.4725,-72.9207,0.7953,7.00E-04,49.9367,0,-134.4725,-72.9207,0.7953,7.00E-04,49.9367,0,-134.4725,-72.9207,2.244094488,4.577395813,0.00,0.00,0.00
4015,mohaveAZ            ,59541,1,2022,0.0184,190.6207,0.8425,0.0011,53.1731,0.0121,-137.4476,-72.1053,0.8425,0.0011,53.1731,0.0121,-137.4476,-72.1053,0.8425,0.0011,53.1731,0.0121,-137.4476,-72.1053,2.338582677,4.736412522,0.00,0.00,0.00
4015,mohaveAZ            ,59542,1,2022,0.0192,197.1242,0.937,0.0023,63.0156,0,-134.1086,-68.0325,0.937,0.0023,63.0156,0,-134.1086,-68.0325,0.937,0.0023,63.0156,0,-134.1086,-68.0325,2.61023622,4.978970616,0.00,0.00,0.00
4015,mohaveAZ            ,59543,1,2022,0.0199,202.5287,0.9961,0.0032,69.7433,0,-132.7854,-65.5637,0.9961,0.0032,69.7433,0,-132.7854,-65.5637,0.9961,0.0032,69.7433,0,-132.7854,-65.5637,2.767716535,5.15402343,0.00,0.00,0.00
4015,mohaveAZ            ,59544,1,2022,0.0209,210.7521,1.2244,0.006,92.2865,0.0116,-118.4655,-56.2109,1.2244,0.006,92.2865,0.0116,-118.4655,-56.2109,1.2244,0.006,92.2865,0.0116,-118.4655,-56.2109,3.212598425,5.405031688,0.00,0.00,0.00
4015,mohaveAZ            ,59545,1,2022,0.0224,222.6183,1.3031,0.0078,106.4378,0.0068,-116.1805,-52.1882,1.3031,0.0078,106.4378,0.0068,-116.1805,-52.1882,1.3031,0.0078,106.4378,0.0068,-116.1805,-52.1882,3.531496063,5.691665066,0.00,0.00,0.00
4015,mohaveAZ            ,59546,1,2022,0.0233,230.1967,1.3071,0.0091,117.237,0,-112.9598,-49.071,1.3071,0.0091,117.237,0,-112.9598,-49.071,1.3071,0.0091,117.237,0,-112.9598,-49.071,3.700787402,5.879009026,0.00,0.00,0.00
4015,mohaveAZ            ,59547,1,2022,0.0205,207.53,1.2992,0.01,123.7764,0,-83.7536,-40.3573,1.2992,0.01,123.7764,0,-83.7536,-40.3573,1.2992,0.01,123.7764,0,-83.7536,-40.3573,3.964566929,6.18609564,0.00,0.00,0.00
4015,mohaveAZ            ,59548,1,2022,0.0196,200.4018,1.3071,0.0115,136.1733,0,-64.2285,-32.0499,1.3071,0.0115,136.1733,0,-64.2285,-32.0499,1.3071,0.0115,136.1733,0,-64.2285,-32.0499,4.188976378,6.505953524,0.00,0.00,0.00
4015,mohaveAZ            ,59549,1,2022,0.0127,145.5323,1.2953,0.0031,69.1552,0,-76.377,-52.4812,1.2953,0.0031,69.1552,0,-76.377,-52.4812,1.2953,0.0031,69.1552,0,-76.377,-52.4812,4.354330709,6.73574035,0.00,0.00,0.00
